DATE,GDPChg,ConsChg,InvChg,GovtChg,NetExChg,UnempChg,lag_ConsChg,lag_UnempChg
2010-04-01,0.014087579,0.008058172,-0.042442219,0.033560234,0.091947512,0.009345794,0.005221059,0.009433962
2010-07-01,0.01146567,0.006843216,-0.013154389,0.027256148,0.016453863,0.009259259,0.008058172,0.009345794
2010-10-01,0.012086539,0.010463348,0.017180303,0.034184185,-0.080686198,0.009174312,0.006843216,0.009259259
2011-01-01,0.000735309,0.005143082,0.010767679,0.017461337,0.130118825,0,0.010463348,0.009174312
2011-04-01,0.014367345,0.003678593,0.028294163,0.005113694,0.030545881,0,0.005143082,0
2011-07-01,0.009694798,0.005166246,0.027750359,0.031182478,-0.041707281,0,0.003678593,0
2011-10-01,0.013252796,0.005934891,0.04050286,0.029248821,0.078142981,0,0.005166246,0
2012-01-01,0.014090918,0.007201319,0.048870461,0.025197367,-0.015611442,0,0.005934891,0
2012-04-01,0.007405745,0.004689983,0.037682088,0.015924052,-0.05348136,0,0.007201319,0
2012-07-01,0.012103661,0.004210807,0.025832622,0.01332094,-0.046362951,0,0.004689983,0
2012-10-01,0.003931279,0.004155203,0.01657443,0.022811061,-0.012795573,0,0.004210807,0
2013-01-01,0.007003526,0.005592926,0.027842379,0.020608202,-0.037251331,0,0.004155203,0
2013-04-01,0.007601918,0.004500188,0.029266729,-0.001971156,-0.036784552,0,0.005592926,0
2013-07-01,0.015119141,0.004891553,0.00259202,-8.12507E-06,0.022146594,0,0.004500188,0
