date,symbol,currassets,totassets,cogs,longtdebt,depamort,ebit,ebitda,currliab,totliab,netincome,rev,tax,roe,tat,de,pm
20130630,CLX,1420,4311,3040,2170,180,966,1146,1134,4165,572,5623,279,3.9178082192,1.3043377407,28.52739726,0.1017250578
20130930,COHR,629.226,966.478,455.217,0,36.123,87.288,123.411,145.828,207.96,66.355,810.126,17.141,0.0874797961,0.8382249777,0.274166203,0.081907012
20130831,CCF,99.975,224.36,134.656,58.822,10.665,28.728,39.393,32.394,110.5,17.214,216.062,9.07,0.1511856666,0.9630147976,0.9704900755,0.0796715758
20130131,CMRO,3.009,3.211,5.496,0,0.097,-4.451,-4.354,9.943,9.985,-5.592,6.338,0.002,0.8255093003,1.9738399253,-1.474018305,-0.882297255
20130831,CMC,2366.195,3494.801,6090.69,1278.814,136.548,198.484,335.032,781.109,2224.646,77.315,6889.575,57.979,0.0608705237,1.9713783417,1.751476001,0.0112220275
20130331,CA,4126,11811,638,1274,477,1365,1842,3541,6361,955,4643,363,0.1752293578,0.3931081195,1.1671559633,0.2056859789
20130331,CSC,5673,11251,11798,2498,1129,924,2053,3349,8091,961,14993,-35,0.3041139241,1.3325926584,2.560443038,0.0640965784
20130731,CMTL,489.651,681.815,171.13,0,14.165,31.68,45.845,269.091,277.753,17.808,319.797,9.685,0.0440724443,0.4690377888,0.6874019334,0.0556853254
20130531,CAG,4379.8,20405.3,11449.9,8886.9,445.2,1630.1,2075.3,3401.3,15042.3,773.9,15491.4,400.2,0.1443035614,0.7591851137,2.8048293865,0.0499567502
20130630,PZZI,7.497,12.535,36.509,1.856,1.304,-0.637,0.667,4.159,6.466,-1.261,41.86,-0.526,-0.207777229,3.3394495413,1.0654144011,-0.030124224
20130630,CBYDF,182.956,244.591,44.109,0,5.534,36.129,41.663,24.185,35.687,27.244,132.743,10.463,0.1304139701,0.5427141636,0.1708296634,0.2052386943
20130930,CRRC,86.525,216.994,183.636,24.583,23.526,18.865,42.391,35.974,70.95,11.222,274.919,6.59,0.0768398565,1.2669428648,0.4858124949,0.0408192959
20130731,CBRL,302.194,1388.306,789.333,400,65.351,207.158,272.509,316.067,904.28,117.265,2644.63,48.517,0.2422700433,1.9049330623,1.8682467471,0.0443407963
20130331,CRWS,35.227,44.163,57.651,0,0.998,8.093,9.091,11.351,11.351,5.111,78.416,2.907,0.1557661831,1.7756040124,0.3459405096,0.0651780249
20130930,CUB,734.394,1106.955,1050.647,102.363,25.359,95.696,121.055,256.923,402.028,19.798,1360.723,14.205,0.0280851776,1.2292487048,0.5703115358,0.0145496181
20130430,CFI,100.746,144.706,213.971,4.4,5.313,21.085,26.398,37.457,49.123,18.317,268.814,1.972,0.1916344957,1.8576562133,0.5139303014,0.0681400522
20130430,DRAM,6.468,8.165,21.763,1.267,0.443,-3.841,-3.398,3.908,5.175,-4.625,27.616,0.005,-1.546822742,3.3822412737,1.7307692308,-0.167475377
20130930,DWSN,115.794,289.027,234.66,3.697,37.095,20.18,57.275,36.58,75.967,10.48,305.299,9.09,0.0491880222,1.0562992385,0.3565521449,0.034327004
20130131,TGT,16388,48163,51035,14654,2142,5210,7352,14031,31605,2999,73301,1610,0.1811209083,1.5219359259,1.9087450175,0.0409134937
20130630,DGAS,31.015,183.93,61.383,55,6.093,13.189,19.282,13.636,113.925,7.201,80.665,4.269,0.1028640811,0.438563584,1.6273837583,0.0892704395
20130630,DV,442.164,1857.018,879.112,0,92.591,245.768,338.359,316.217,459.008,106.786,1964.375,39.227,0.0763842891,1.0578115021,0.3283295542,0.0543613108
